iter	RMSE
0	1222.06319
1	1193.691695
2	1165.817832
3	1138.876704
4	1112.457217
5	1086.845041
6	1061.620231
7	1037.693705
8	1014.58624
9	992.1449623
10	971.4391128
11	951.0074563
12	930.9257813
13	911.8477828
14	893.5285287
15	875.7660083
16	858.7372527
17	842.2297423
18	826.0824047
19	810.7112632
20	796.1375649
21	781.6081131
22	767.991336
23	754.8622644
24	742.0943823
25	729.9706515
26	718.3992631
27	706.5091075
28	695.4057426
29	685.5576366
30	675.0045762
31	665.2184312
32	655.7351383
33	646.5455761
34	637.768496
35	629.4484458
36	621.7823464
37	614.4512419
38	607.0363358
39	599.985131
40	593.5026464
41	587.1786275
42	581.1041341
43	575.2797335
44	569.7377208
45	564.1334039
46	558.9068305
47	553.922381
48	549.7080004
49	545.1062678
50	540.8413605
51	536.6525863
52	532.834513
53	529.1394668
54	525.6243175
55	522.4667273
56	518.9162839
57	515.8396787
58	512.8738683
59	509.9902768
60	507.3263204
61	504.6756664
62	502.0937961
63	499.4414073
64	497.2297887
65	494.8404495
66	492.7073735
67	490.9888988
68	489.0605556
69	487.3857581
70	485.4514732
71	483.5878253
72	482.0499985
73	480.5119991
74	478.8995546
75	477.3343199
76	475.9340142
77	474.2614447
78	472.8045837
79	471.6712755
80	470.5615631
81	469.2382212
82	468.2379696
83	467.2081662
84	466.0563012
85	465.1536685
86	464.3172057
87	463.5200239
88	462.4454451
89	461.6446713
90	460.7412598
91	459.8299539
92	458.8718136
93	458.2140418
94	457.452191
95	456.6721961
96	455.9243848
97	455.2159417
98	454.3868986
99	453.8452382
100	453.2376024
101	452.4858933
102	451.7317625
103	451.0483729
104	450.3531497
105	449.6798866
106	449.1520842
107	448.499344
108	447.969908
109	447.3671666
110	446.74184
111	446.2051224
112	445.6845303
113	445.3090942
114	444.7125956
115	444.0626669
116	443.685305
117	443.2601605
118	442.8536297
119	442.3973488
120	441.867283
121	441.4610585
122	441.0723458
123	440.6844057
124	440.2360552
125	439.6670841
126	439.1535142
127	438.861493
128	438.4100585
129	438.1654945
130	437.759811
131	437.3538877
132	437.0356037
133	436.7070458
134	436.4144263
135	435.8435077
136	435.5656862
137	435.2768797
138	434.9866662
139	434.7427769
140	434.4177828
141	434.0263717
142	433.8052459
143	433.4833098
144	433.1653242
145	432.8288557
146	432.3096567
147	432.0504314
148	431.6772334
149	431.4138422
150	431.0748299
151	430.8187468
152	430.510568
153	430.156081
154	429.8623529
155	429.5844339
156	429.2077096
157	428.9953756
158	428.8530093
159	428.5315708
160	428.279521
161	428.0271105
162	427.7377942
163	427.4600248
164	427.2732031
165	426.9437602
166	426.6686501
167	426.4669436
168	426.2346666
169	426.0815297
170	425.8037678
171	425.6522936
172	425.3636566
173	425.1149013
174	424.922303
175	424.5207867
176	424.1629113
177	423.9106707
178	423.703171
179	423.4323794
180	423.1400756
181	423.0139364
182	422.7121713
183	422.5602777
184	422.1291504
185	422.0063597
186	421.7130348
187	421.5600173
188	421.2971619
189	421.0249194
190	420.8638124
191	420.5318674
192	420.3010381
193	420.1689834
194	419.9987161
195	419.7681249
196	419.5018891
197	419.2977728
198	418.9513972
199	418.6079913
200	418.4518876
201	418.279517
202	417.9152959
203	417.6959596
204	417.4650629
205	417.3062195
206	417.0401732
207	416.7589771
208	416.5900571
209	416.3570573
210	416.1576373
211	415.7706605
212	415.4658007
213	415.207581
214	414.8867674
215	414.7121371
216	414.3622058
217	414.105389
218	413.857314
219	413.5307204
220	413.2503648
221	413.0687048
222	412.7688903
223	412.6445099
224	412.4808306
225	412.2590939
226	412.1211146
227	411.9262564
228	411.7255928
229	411.5942443
230	411.3850391
231	411.1956815
232	411.0067468
233	410.7275599
234	410.5257863
235	410.1695727
236	409.8341916
237	409.6932029
238	409.504906
239	409.3238469
240	409.0956379
241	408.8226744
242	408.5718773
243	408.1758477
244	407.9481635
245	407.5151098
246	407.3274188
247	407.1305797
248	406.9704202
249	406.7560819
250	406.5084549
251	406.2717027
252	406.0816531
253	405.8740074
254	405.5750253
255	405.1950837
256	405.0061545
257	404.6709922
258	404.4142533
259	404.2573517
260	404.0499847
261	403.8367346
262	403.7217828
263	403.4946266
264	403.3415155
265	403.1272771
266	402.904285
267	402.6719781
268	402.5225536
269	402.1970708
270	402.0561119
271	401.8469519
272	401.6002264
273	401.3398916
274	401.1624378
275	400.9839687
276	400.7880438
277	400.6249952
278	400.3449272
279	400.2649726
280	400.1325712
281	399.9133
282	399.6933919
283	399.4762299
284	399.227747
285	398.9215208
286	398.7404106
287	398.4491987
288	398.2799051
289	398.1026128
290	397.7911791
291	397.5938662
292	397.3398435
293	397.1516214
294	397.0615047
295	396.8189336
296	396.5643227
297	396.3836524
298	396.1820383
299	396.0509923
300	395.9622865
301	395.8601061
302	395.774525
303	395.4879306
304	395.2117466
305	395.0461205
306	394.8796796
307	394.6522837
308	394.4967254
309	394.3334793
310	394.1673923
311	393.9431228
312	393.7311772
313	393.5564381
314	393.5041303
315	393.3759497
316	393.2165058
317	393.0642084
318	392.9225655
319	392.6689705
320	392.4552249
321	392.2592539
322	392.0848955
323	391.8300619
324	391.6568166
325	391.498291
326	391.177415
327	390.9445273
328	390.6510683
329	390.5499907
330	390.426597
331	390.2492363
332	390.1038896
333	389.9189913
334	389.8045304
335	389.5621068
336	389.286267
337	389.1314455
338	389.0319268
339	388.876383
340	388.7213602
341	388.5058626
342	388.4137608
343	388.2104212
344	388.0706438
345	387.9308563
346	387.7581916
347	387.442842
348	387.2311361
349	386.9644513
350	386.7461623
351	386.6248155
352	386.4283227
353	386.2711738
