iter	MAE
0	636.3351564
1	625.3594844
2	610.866694
3	597.6354705
4	585.8561854
5	571.8268032
6	559.4641654
7	545.2204482
8	533.6658348
9	521.1613052
10	509.0844914
11	497.3095599
12	487.0215667
13	475.67345
14	465.3936736
15	455.1327621
16	445.114766
17	436.0255685
18	427.1727983
19	418.4728412
20	410.1192477
21	401.7199424
22	394.1328817
23	386.4760723
24	379.3931295
25	372.6208373
26	365.9612501
27	359.0306462
28	353.1389604
29	347.4256505
30	342.4252834
31	337.1080474
32	332.3459284
33	327.5236601
34	322.9481473
35	318.5313641
36	314.3198682
37	310.2579311
38	306.4256091
39	302.3951281
40	299.0106968
41	295.4123901
42	291.9069491
43	289.0196822
44	286.3434102
45	283.7277584
46	280.7773175
47	278.4626247
48	275.6905189
49	273.3743289
50	271.1931993
51	268.6776578
52	266.5086484
53	264.3059161
54	262.3282556
55	260.5020623
56	258.6910801
57	256.8010481
58	255.016268
59	253.2889069
60	251.5169946
61	249.8644163
62	248.3648601
63	246.9556437
64	245.5949078
65	244.3075655
66	243.1237154
67	241.818068
68	240.7997783
69	239.6098597
70	238.5708614
71	237.6031971
72	236.4417014
73	235.4843004
74	234.6743373
75	233.8649347
76	233.0780178
77	232.2406263
78	231.6161227
79	231.0606621
80	230.1875787
81	229.4087093
82	228.9435251
83	228.193289
84	227.4566756
85	226.7083051
86	225.9463514
87	225.2647861
88	224.7655858
89	224.2357024
90	223.8165921
91	223.1548281
92	222.6874319
93	222.1368304
94	221.5104847
95	221.1218785
96	220.7331842
97	220.3553155
98	219.9208062
99	219.6414934
100	219.2182323
101	218.8812914
102	218.4845798
103	218.1685219
104	217.8325411
105	217.5078945
106	217.1201866
107	216.8006504
108	216.539027
109	216.1652749
110	215.9501575
111	215.5437866
112	215.1132792
113	214.9094058
114	214.6788116
115	214.3609127
116	214.1307774
117	213.9303553
118	213.5196594
119	213.2060631
120	213.0173958
121	212.833628
122	212.6144537
123	212.4278437
124	212.2829992
125	212.1639838
126	211.9830648
127	211.8048056
128	211.6766585
129	211.5697319
130	211.4187188
131	211.2088946
132	211.0467338
133	210.9570011
134	210.8185093
135	210.7227395
136	210.6470616
137	210.4351769
138	210.324142
139	210.2735879
140	210.1225972
141	209.9402593
142	209.7762738
143	209.6903968
144	209.5347887
145	209.4390857
146	209.2864841
147	209.2224897
148	209.0842475
149	208.9474923
150	208.7404958
151	208.6702045
152	208.4523589
153	208.3930595
154	208.2828704
155	208.1765654
156	208.0543699
157	207.9847827
