iter	Passed	Remaining
0	9	9354
1	17	8924
2	26	8848
3	36	9190
4	45	8988
5	54	9089
6	64	9080
7	74	9216
8	83	9210
9	92	9138
10	101	9169
11	112	9221
12	123	9379
13	135	9527
14	145	9537
15	155	9563
16	165	9593
17	177	9666
18	188	9737
19	198	9745
20	208	9737
21	221	9829
22	230	9803
23	239	9754
24	250	9767
25	259	9739
26	268	9692
27	279	9695
28	289	9692
29	299	9699
30	309	9666
31	319	9650
32	329	9650
33	338	9605
34	347	9576
35	356	9534
36	364	9491
37	373	9452
38	380	9386
39	388	9334
40	398	9323
41	409	9342
42	420	9352
43	430	9363
44	441	9359
45	450	9348
46	460	9344
47	470	9328
48	479	9311
49	491	9330
50	500	9320
51	510	9304
52	521	9316
53	530	9288
54	540	9284
55	552	9305
56	560	9279
57	570	9265
58	579	9248
59	588	9223
60	597	9201
61	608	9208
62	618	9203
63	627	9174
64	636	9158
65	645	9135
66	654	9116
67	663	9093
68	672	9071
69	681	9052
70	690	9033
71	700	9026
72	708	9002
73	717	8983
74	727	8972
75	736	8959
76	747	8959
77	756	8945
78	766	8934
79	776	8928
80	784	8901
81	794	8891
82	803	8876
83	812	8864
84	822	8858
85	831	8836
86	840	8822
87	850	8810
88	862	8825
89	871	8811
90	879	8784
91	888	8766
92	898	8762
93	907	8747
94	916	8731
95	927	8737
96	937	8727
97	945	8706
98	955	8699
99	964	8683
100	975	8678
101	983	8662
102	993	8647
103	1002	8633
104	1012	8626
105	1021	8616
106	1030	8597
107	1039	8588
108	1048	8572
109	1058	8560
110	1067	8553
111	1076	8536
112	1086	8526
113	1095	8515
114	1104	8498
115	1114	8491
116	1123	8480
117	1133	8469
118	1142	8461
119	1153	8461
120	1162	8444
121	1171	8429
122	1180	8415
123	1188	8395
124	1197	8384
125	1205	8362
126	1217	8365
127	1225	8351
128	1234	8334
129	1243	8319
130	1250	8295
131	1259	8282
132	1269	8278
133	1281	8284
134	1293	8286
135	1302	8277
136	1311	8262
137	1320	8251
138	1329	8237
139	1337	8218
140	1346	8203
141	1357	8203
142	1365	8183
143	1373	8166
144	1382	8151
145	1392	8146
146	1403	8142
147	1412	8129
148	1421	8120
149	1431	8110
150	1441	8102
151	1449	8088
152	1458	8072
153	1467	8063
154	1477	8052
155	1486	8042
156	1495	8028
157	1504	8017
158	1512	8001
159	1521	7989
160	1532	7984
161	1540	7970
162	1550	7960
163	1561	7962
164	1571	7950
165	1580	7941
166	1589	7926
167	1597	7911
168	1606	7898
169	1615	7887
170	1624	7876
171	1633	7865
172	1643	7857
173	1651	7840
174	1660	7828
175	1669	7817
176	1678	7805
177	1687	7795
178	1697	7787
179	1706	7772
180	1716	7767
181	1726	7759
182	1735	7749
183	1748	7753
184	1759	7751
185	1767	7736
186	1777	7729
187	1786	7714
188	1795	7704
189	1803	7689
190	1812	7675
191	1822	7669
192	1830	7652
193	1839	7643
194	1849	7633
195	1858	7623
196	1868	7617
197	1877	7606
198	1887	7595
199	1895	7582
200	1905	7572
201	1913	7558
202	1922	7547
203	1931	7537
204	1940	7526
205	1950	7519
206	1960	7509
207	1970	7503
208	1979	7491
209	1988	7482
210	1997	7470
211	2007	7460
212	2016	7450
213	2024	7435
214	2036	7434
215	2046	7428
216	2055	7418
217	2065	7409
218	2073	7395
219	2083	7388
220	2092	7376
221	2100	7362
222	2111	7357
223	2121	7349
224	2131	7340
225	2140	7332
226	2151	7326
227	2165	7331
228	2175	7325
229	2184	7314
230	2194	7305
231	2202	7289
232	2211	7280
233	2219	7265
234	2228	7254
235	2239	7249
236	2249	7242
237	2259	7234
238	2268	7223
239	2279	7218
240	2289	7209
241	2297	7197
242	2307	7187
243	2314	7172
244	2326	7169
245	2335	7159
246	2346	7152
247	2357	7149
248	2368	7142
249	2377	7131
250	2388	7126
251	2397	7116
252	2408	7109
253	2418	7103
254	2427	7092
255	2437	7084
256	2447	7076
257	2456	7065
258	2466	7055
259	2474	7043
260	2484	7035
261	2493	7023
262	2503	7014
263	2512	7003
264	2520	6992
265	2530	6981
266	2539	6971
267	2549	6963
268	2559	6954
269	2569	6947
270	2579	6937
271	2589	6930
272	2598	6920
273	2607	6909
274	2617	6899
275	2626	6888
276	2634	6876
277	2643	6866
278	2652	6853
279	2661	6842
280	2669	6831
281	2679	6822
282	2688	6810
283	2696	6799
284	2705	6787
285	2714	6776
286	2724	6767
287	2733	6757
288	2743	6749
289	2753	6742
290	2762	6731
291	2773	6724
292	2782	6714
293	2794	6709
294	2804	6703
295	2815	6696
296	2825	6687
297	2836	6681
298	2847	6675
299	2858	6668
300	2869	6664
301	2879	6654
302	2888	6645
303	2897	6634
304	2907	6625
305	2918	6618
306	2926	6604
307	2935	6595
308	2945	6585
309	2954	6576
310	2964	6567
311	2972	6555
312	2983	6547
313	2992	6538
314	3002	6530
315	3013	6523
316	3021	6510
317	3032	6503
318	3040	6490
319	3049	6480
320	3057	6468
321	3068	6460
322	3076	6449
323	3085	6437
324	3094	6427
325	3101	6413
326	3110	6402
327	3119	6390
328	3128	6380
329	3136	6367
330	3146	6360
331	3156	6350
332	3165	6340
333	3175	6331
334	3183	6320
335	3194	6313
336	3204	6304
337	3215	6297
338	3225	6289
339	3233	6276
340	3243	6267
341	3252	6257
342	3262	6248
343	3271	6238
344	3279	6226
345	3289	6217
346	3297	6206
347	3306	6195
348	3314	6182
349	3324	6173
350	3334	6164
351	3343	6154
352	3353	6147
353	3362	6136
354	3372	6127
355	3383	6121
356	3394	6114
357	3406	6109
358	3418	6103
359	3427	6093
360	3437	6084
361	3448	6077
362	3456	6065
363	3465	6055
364	3474	6044
365	3483	6034
366	3491	6021
367	3499	6010
368	3507	5998
369	3517	5988
370	3524	5976
371	3534	5966
372	3543	5956
373	3551	5944
374	3560	5934
375	3568	5922
376	3578	5913
377	3587	5903
378	3597	5894
379	3606	5884
380	3615	5874
381	3626	5866
382	3635	5856
383	3644	5846
384	3652	5835
385	3662	5826
386	3672	5816
387	3681	5806
388	3691	5797
389	3699	5786
390	3709	5777
391	3718	5767
392	3728	5758
393	3737	5748
394	3746	5737
395	3756	5729
396	3765	5719
397	3775	5710
398	3785	5702
399	3794	5691
400	3803	5681
401	3813	5672
402	3824	5665
403	3833	5655
404	3845	5649
405	3855	5641
406	3865	5631
407	3874	5621
408	3883	5611
409	3892	5601
410	3902	5593
411	3911	5582
412	3921	5573
413	3930	5563
414	3939	5552
415	3948	5543
416	3957	5532
417	3966	5522
418	3974	5511
419	3985	5503
420	3993	5492
421	4002	5481
422	4011	5471
423	4021	5462
424	4031	5454
425	4039	5442
426	4050	5434
427	4059	5425
428	4068	5415
429	4078	5406
430	4087	5396
431	4098	5388
432	4108	5379
433	4116	5368
434	4126	5359
435	4133	5347
436	4143	5337
437	4151	5326
438	4160	5316
439	4169	5306
440	4177	5295
441	4185	5284
442	4195	5275
443	4206	5267
444	4215	5256
445	4225	5248
446	4234	5238
447	4245	5230
448	4254	5221
449	4263	5211
450	4273	5202
451	4282	5192
452	4292	5183
453	4303	5175
454	4311	5164
455	4321	5155
456	4330	5146
457	4339	5135
458	4348	5125
459	4358	5116
460	4367	5106
461	4375	5095
462	4384	5085
463	4392	5074
464	4402	5065
465	4411	5054
466	4420	5045
467	4431	5037
468	4442	5029
469	4452	5020
470	4461	5010
471	4470	5001
472	4480	4991
473	4488	4981
474	4498	4971
475	4506	4961
476	4517	4953
477	4524	4941
478	4534	4931
479	4543	4922
480	4552	4911
481	4561	4901
482	4569	4890
483	4578	4881
484	4587	4870
485	4600	4865
486	4618	4865
487	4628	4855
488	4637	4845
489	4646	4836
490	4655	4826
491	4665	4817
492	4675	4808
493	4686	4799
494	4699	4794
495	4710	4786
496	4720	4777
497	4730	4768
498	4740	4759
499	4750	4750
500	4762	4743
501	4773	4734
502	4783	4726
503	4794	4718
504	4804	4709
505	4814	4699
506	4824	4691
507	4834	4682
508	4844	4672
509	4854	4664
510	4866	4656
511	4875	4646
512	4886	4638
513	4897	4630
514	4907	4621
515	4917	4612
516	4926	4602
517	4936	4593
518	4946	4584
519	4956	4574
520	4965	4565
521	4975	4556
522	4986	4548
523	4999	4541
524	5010	4533
525	5019	4523
526	5030	4514
527	5042	4507
528	5056	4502
529	5069	4495
530	5079	4486
531	5091	4478
532	5100	4469
533	5110	4460
534	5119	4449
535	5128	4439
536	5138	4430
537	5147	4420
538	5157	4411
539	5165	4400
540	5175	4390
541	5184	4381
542	5193	4371
543	5203	4361
544	5212	4351
545	5221	4341
546	5229	4331
547	5239	4321
548	5247	4310
549	5257	4301
550	5267	4292
551	5276	4282
552	5288	4274
553	5296	4264
554	5308	4255
555	5325	4252
556	5336	4244
557	5346	4235
558	5358	4227
559	5370	4219
560	5380	4210
561	5390	4201
562	5401	4192
563	5411	4183
564	5421	4173
565	5431	4165
566	5441	4155
567	5450	4145
568	5460	4136
569	5470	4126
570	5479	4116
571	5488	4106
572	5499	4097
573	5506	4086
574	5517	4078
575	5527	4068
576	5535	4058
577	5544	4048
578	5553	4038
579	5565	4030
580	5574	4020
581	5583	4010
582	5593	4000
583	5601	3989
584	5611	3980
585	5619	3970
586	5628	3960
587	5637	3950
588	5646	3940
589	5655	3929
590	5663	3919
591	5674	3911
592	5684	3901
593	5693	3891
594	5703	3882
595	5713	3872
596	5722	3862
597	5730	3852
598	5738	3841
599	5747	3831
600	5756	3821
601	5764	3811
602	5773	3801
603	5781	3790
604	5791	3781
605	5801	3771
606	5809	3761
607	5820	3752
608	5830	3743
609	5839	3733
610	5848	3723
611	5857	3713
612	5868	3704
613	5877	3695
614	5889	3687
615	5899	3677
616	5908	3667
617	5918	3658
618	5926	3647
619	5936	3638
620	5945	3628
621	5955	3619
622	5965	3609
623	5973	3599
624	5982	3589
625	5990	3578
626	6000	3569
627	6009	3559
628	6017	3549
629	6026	3539
630	6034	3528
631	6043	3519
632	6052	3509
633	6062	3499
634	6071	3490
635	6081	3480
636	6090	3470
637	6100	3461
638	6108	3450
639	6117	3441
640	6126	3431
641	6135	3421
642	6145	3412
643	6155	3402
644	6165	3393
645	6175	3384
646	6184	3374
647	6194	3364
648	6202	3354
649	6211	3344
650	6222	3335
651	6232	3326
652	6243	3317
653	6254	3308
654	6263	3299
655	6274	3290
656	6283	3280
657	6293	3270
658	6304	3262
659	6313	3252
660	6323	3243
661	6331	3232
662	6341	3223
663	6350	3213
664	6359	3203
665	6369	3194
666	6378	3184
667	6388	3175
668	6398	3165
669	6407	3156
670	6416	3146
671	6425	3136
672	6436	3127
673	6443	3116
674	6453	3107
675	6461	3096
676	6470	3087
677	6479	3077
678	6489	3067
679	6498	3058
680	6507	3048
681	6517	3039
682	6528	3030
683	6536	3019
684	6545	3010
685	6554	3000
686	6564	2990
687	6574	2981
688	6584	2972
689	6593	2962
690	6602	2952
691	6611	2942
692	6619	2932
693	6630	2923
694	6640	2914
695	6650	2904
696	6659	2894
697	6668	2885
698	6677	2875
699	6688	2866
700	6697	2856
701	6707	2847
702	6716	2837
703	6727	2828
704	6739	2820
705	6748	2810
706	6759	2801
707	6769	2791
708	6779	2782
709	6788	2772
