iter	MAE
0	326.8116841
1	320.8004988
2	314.5527387
3	308.5077036
4	302.4441684
5	296.0876935
6	292.6068645
7	289.5908892
8	286.800152
9	280.6176429
10	274.3500842
11	271.4132184
12	265.6791718
13	260.5539108
14	255.0003621
15	249.5125742
16	244.4198881
17	239.2579812
18	236.9598066
19	231.9421255
20	227.2806321
21	223.2462925
22	221.390335
23	217.4275035
24	213.1834845
25	209.0286713
26	205.1940296
27	201.5893105
28	198.2950824
29	194.8863733
30	191.6239655
31	188.5735455
32	185.5964325
33	184.3978687
34	181.523994
35	180.4669399
36	177.8423002
37	175.2471096
38	172.8008587
39	170.3980755
40	168.2079934
41	166.0820014
42	164.1435405
43	162.1340807
44	160.1110881
45	159.3827867
46	157.6335259
47	155.830712
48	155.2129612
49	153.6678791
50	152.2087147
51	150.6708439
52	149.3396565
53	147.8793056
54	147.3876452
55	146.9175684
56	145.6982787
57	144.6288392
58	144.2250325
59	143.0735954
60	141.865701
61	140.7405324
62	139.7707734
63	139.4358526
64	138.4733558
65	137.5072074
66	136.5720089
67	135.691106
68	134.9641942
69	134.6724629
70	134.4047757
71	133.5179596
72	132.8890067
73	132.0730231
74	131.8263564
75	131.5721771
76	131.3566828
77	130.6409748
78	130.4068313
79	129.8122456
80	129.1195008
81	128.5560924
82	128.3697369
83	128.1871265
84	127.6031049
85	127.4072405
86	126.9651255
87	126.4704023
88	126.0528522
89	125.9212027
90	125.5394077
91	125.1212913
92	124.6535724
93	124.0759057
94	123.5865669
95	123.4756635
96	123.3775788
97	123.2830368
98	122.9109008
99	122.6543991
100	122.3812993
101	122.0701662
102	121.9854484
103	121.5731735
104	121.1866103
105	121.1299378
106	121.0576745
107	121.0018893
108	120.7204262
109	120.6307529
110	120.3986421
111	120.0271612
112	119.7384575
113	119.6696224
114	119.3950994
115	119.0829988
116	118.8065707
117	118.7391342
118	118.5350021
119	118.4813206
120	118.4130605
121	118.1834669
122	118.1214906
123	117.8910089
124	117.635385
125	117.4156727
126	117.3275144
127	117.2984194
128	117.1217112
129	117.070149
130	117.0388624
131	116.9632696
132	116.9309783
133	116.7738543
134	116.7402096
135	116.6682272
136	116.6027079
137	116.4531288
138	116.411962
139	116.2834129
140	116.2600621
141	116.0787057
142	116.0418212
143	115.9336704
144	115.7960945
145	115.7468598
146	115.6869207
147	115.6325551
148	115.604223
149	115.5757146
150	115.5505314
151	115.4354008
152	115.40949
153	115.2217134
154	115.1711137
155	115.1514095
156	115.144276
157	115.1098357
158	114.9749989
159	114.9493073
160	114.8600317
161	114.7197111
162	114.5267086
163	114.4906791
164	114.4708246
165	114.4539134
166	114.4436499
167	114.3838021
168	114.3746579
169	114.3432544
170	114.3215557
171	114.1940979
172	114.1846979
173	114.1668481
174	114.0706032
175	114.0441249
176	114.0372631
177	114.0284247
178	114.0018434
179	113.8987798
180	113.8741885
181	113.8660256
182	113.8634087
183	113.8306229
184	113.7285388
185	113.7183477
186	113.6122679
187	113.5984762
188	113.5668875
189	113.5557065
190	113.5273998
191	113.5090644
192	113.5010709
193	113.4634118
194	113.4413591
195	113.3482135
196	113.2621407
197	113.2005498
198	113.1944146
199	113.1843699
200	113.1229127
201	113.0805862
202	113.0113758
203	112.9909819
204	112.9849681
205	112.9775613
206	112.9536928
207	112.9412221
208	112.9406739
209	112.9405769
210	112.9183263
211	112.9181273
212	112.9124595
213	112.8686582
214	112.6877052
215	112.6820076
216	112.6737812
217	112.6599893
218	112.6588071
219	112.6510501
220	112.6439538
221	112.6438755
222	112.6362409
223	112.5336904
224	112.5166696
225	112.5141375
226	112.4743888
227	112.4643508
228	112.4493595
229	112.3904749
230	112.3839083
231	112.3793036
232	112.3692917
233	112.3646933
234	112.3567523
235	112.3535975
236	112.3207121
237	112.2659767
238	112.2480766
239	112.2317865
240	112.2212833
241	112.1941213
242	112.1903311
243	112.149788
244	112.1302712
245	112.104074
246	112.1032831
247	112.0748924
248	111.9851006
249	111.9629375
250	111.8743893
251	111.85448
252	111.8484788
253	111.8398534
254	111.7616869
255	111.741075
256	111.7242532
257	111.7033718
258	111.675927
259	111.660685
260	111.6132831
261	111.5658536
262	111.5260275
263	111.516876
264	111.5056074
265	111.4820154
266	111.4488874
267	111.4134663
268	111.4045867
269	111.3864337
270	111.332633
271	111.3148098
272	111.2784608
273	111.2546974
274	111.2235515
275	111.2117654
276	111.1979993
277	111.1869494
278	111.1672348
279	111.1660428
280	111.1642293
281	111.1554932
282	111.1428974
283	111.057865
284	111.0514697
285	111.050249
286	111.0471506
287	111.0204234
288	111.0186367
289	111.0002579
290	110.9878781
291	110.9859781
292	110.972981
293	110.9574765
294	110.9244727
295	110.9217689
296	110.9044827
297	110.8875959
298	110.7916989
299	110.7776683
300	110.7666877
301	110.7057652
302	110.6769702
303	110.6144855
304	110.6108075
305	110.6043964
306	110.5882633
307	110.5828328
308	110.5223321
309	110.5145789
310	110.5134646
311	110.5133183
312	110.4991832
313	110.4797217
314	110.4771151
315	110.4728369
316	110.460707
317	110.4405081
318	110.436633
319	110.3328695
320	110.318509
321	110.2539157
322	110.2527579
323	110.2481824
324	110.233051
325	110.1862907
326	110.1500158
327	110.1276496
328	110.116359
329	110.1110788
330	110.0928358
331	110.0846167
332	110.0496623
333	110.0380752
334	110.0259578
335	109.9883778
336	109.9655928
337	109.9357061
338	109.9124649
339	109.8764773
340	109.8573754
341	109.8573423
342	109.8541795
343	109.7782612
344	109.7474736
345	109.7320619
346	109.7311905
347	109.6865326
348	109.6676876
349	109.6573199
350	109.6525955
351	109.6386973
352	109.617608
353	109.609479
354	109.5979828
355	109.5609462
356	109.5596976
357	109.5534692
358	109.5170521
359	109.5079308
360	109.4872575
361	109.4822054
362	109.475096
363	109.4583562
364	109.4492241
365	109.4329033
366	109.4120674
367	109.3565898
368	109.3367375
369	109.3144646
370	109.3122958
371	109.2650184
372	109.2223389
373	109.1441445
374	109.0831983
375	109.0804079
376	109.0395873
377	108.9774487
378	108.9750089
379	108.965636
380	108.9441988
381	108.9415973
382	108.9214997
383	108.8950113
384	108.8839536
385	108.8644557
386	108.8342623
387	108.8331363
388	108.7986322
389	108.7869177
390	108.7350489
391	108.6852459
392	108.6797226
393	108.6660676
394	108.6600844
395	108.5856501
396	108.5410363
397	108.5052063
398	108.4370885
399	108.4346224
400	108.4341279
401	108.3869126
402	108.37917
403	108.3784202
404	108.3184625
405	108.3176313
406	108.3080746
407	108.2935751
408	108.2887873
409	108.2487616
410	108.2393326
411	108.2353858
412	108.2241486
413	108.2105205
414	108.1213363
415	108.1146663
416	108.0899578
417	108.0897381
418	108.0853566
419	108.0685314
420	108.0261048
421	108.0243422
422	107.9969951
423	107.9935305
424	107.9935174
425	107.9934961
426	107.9671858
427	107.9671226
428	107.9670753
429	107.9492426
430	107.9312062
431	107.9152178
432	107.9052647
433	107.882992
434	107.8667623
435	107.8542119
436	107.8330623
437	107.8330402
438	107.8304696
439	107.8304242
440	107.8257042
441	107.8196939
442	107.8196906
443	107.8049764
444	107.8021502
445	107.8021136
446	107.7575997
447	107.7501664
448	107.7499381
449	107.7496549
450	107.7198513
451	107.6775861
452	107.6609889
453	107.6609866
454	107.6245398
455	107.6091155
456	107.5763363
457	107.5763295
458	107.5621535
459	107.5435719
460	107.543558
461	107.4913164
462	107.45802
463	107.4506303
464	107.4494767
465	107.4351031
466	107.4278683
467	107.4273783
468	107.4271789
469	107.4270817
470	107.4269729
471	107.4062245
472	107.4061665
473	107.4058486
474	107.4037728
475	107.4003631
476	107.4000112
477	107.3997519
478	107.3996329
479	107.3951869
480	107.3950935
481	107.3918799
482	107.3896417
483	107.3893755
484	107.3815802
485	107.3804101
486	107.3802324
487	107.3792403
488	107.3792384
489	107.3783102
490	107.3776968
491	107.3776506
492	107.3768546
493	107.373231
494	107.37322
495	107.3731074
496	107.3701019
497	107.367321
498	107.3487861
499	107.3478542
500	107.3251319
501	107.3250244
502	107.3014381
503	107.2962829
504	107.2901878
505	107.2901698
506	107.2822781
507	107.2615023
508	107.2565374
509	107.2565261
510	107.2451974
511	107.2364829
512	107.2146335
513	107.2129846
514	107.2072613
515	107.2071504
516	107.2031702
517	107.201287
518	107.1966074
519	107.1964362
520	107.1908556
521	107.1821934
522	107.1821821
523	107.1817814
524	107.1688266
525	107.1606717
526	107.1558519
527	107.1545089
528	107.1545005
529	107.1464934
530	107.1259545
531	107.1125877
532	107.112565
533	107.1117508
534	107.1085766
535	107.1085557
536	107.1082673
537	107.1082542
538	107.1079945
539	107.1076108
540	107.1073733
541	107.1073526
542	107.1073321
543	107.0885598
544	107.0885397
545	107.0768231
546	107.0768047
547	107.0747175
548	107.0746956
549	107.0702311
550	107.0692497
551	107.0632824
552	107.063014
553	107.0510609
554	107.0510393
555	107.0469686
556	107.0469488
557	107.0469293
558	107.0375894
559	107.0026102
560	107.0014156
561	107.0005658
562	106.9870744
563	106.9870739
564	106.9789046
565	106.9788858
566	106.9788096
567	106.9660786
568	106.9547028
569	106.923801
570	106.912482
571	106.9099766
572	106.9068755
573	106.9064429
574	106.9064046
575	106.9058749
576	106.9058585
577	106.8937531
578	106.8773419
579	106.8769106
580	106.8763882
581	106.8763141
582	106.8644364
583	106.8642793
584	106.8642432
585	106.8538514
586	106.8534178
587	106.8530025
588	106.8388615
589	106.8274541
590	106.8274213
591	106.8274199
592	106.8234778
593	106.8234376
594	106.8228958
595	106.8220471
596	106.8218592
597	106.7998509
598	106.799826
599	106.799161
600	106.7968571
601	106.7966154
602	106.7965999
603	106.7953646
