iter	Passed	Remaining
0	122	122032
1	238	119155
2	354	117777
3	478	119035
4	613	122156
5	734	121660
6	853	121131
7	973	120763
8	1097	120841
9	1229	121685
10	1360	122289
11	1479	121778
12	1634	124106
13	1762	124151
14	1890	124152
15	2016	124016
16	2143	123922
17	2262	123420
18	2387	123295
19	2511	123058
20	2636	122920
21	2761	122768
22	2888	122706
23	3007	122296
24	3138	122386
25	3268	122448
26	3383	121937
27	3500	121530
28	3623	121335
29	3756	121449
30	3877	121217
31	3990	120706
32	4102	120207
33	4215	119774
34	4333	119477
35	4457	119357
36	4580	119214
37	4692	118799
38	4807	118452
39	4924	118196
40	5044	117986
41	5155	117590
42	5271	117318
43	5387	117058
44	5506	116869
45	5623	116616
46	5740	116405
47	5854	116108
48	5969	115860
49	6082	115559
50	6198	115335
51	6313	115105
52	6430	114892
53	6543	114634
54	6658	114401
55	6779	114290
56	6893	114038
57	7003	113750
58	7116	113505
59	7233	113329
60	7347	113105
61	7464	112932
62	7579	112723
63	7697	112579
64	7818	112467
65	7946	112456
66	8060	112245
67	8172	112011
68	8285	111797
69	8404	111655
70	8518	111463
71	8632	111257
72	8751	111133
73	8865	110942
74	8979	110743
75	9091	110531
76	9211	110423
77	9325	110229
78	9442	110080
79	9554	109878
80	9668	109700
81	9778	109476
82	9893	109299
83	10015	109218
84	10126	109007
85	10242	108855
86	10357	108695
87	10469	108498
88	10589	108393
89	10713	108328
90	10838	108264
91	10943	108011
92	11060	107871
93	11177	107729
94	11296	107614
95	11409	107440
96	11529	107334
97	11646	107197
98	11761	107038
99	11880	106920
100	12087	107589
101	12199	107406
102	12302	107140
103	12419	106999
104	12536	106860
105	12652	106708
106	12770	106578
107	12887	106443
108	13007	106323
109	13119	106147
110	13243	106065
111	13371	106018
112	13483	105838
113	13592	105637
114	13711	105515
115	13820	105325
116	13934	105166
117	14053	105041
118	14175	104948
119	14290	104798
120	14414	104717
121	14526	104543
122	14640	104387
123	14757	104255
124	14875	104125
125	15015	104155
126	15127	103985
127	15263	103984
128	15410	104049
129	15551	104075
130	15665	103915
131	15779	103763
132	15884	103550
133	15997	103388
134	16114	103251
135	16250	103240
136	16362	103071
137	16471	102889
138	16589	102759
139	16704	102612
140	16828	102525
141	16947	102399
142	17064	102266
143	17170	102068
144	17283	101914
145	17403	101798
146	17514	101631
147	17629	101489
148	17748	101366
149	17856	101186
150	17974	101063
151	18092	100937
152	18206	100789
153	18321	100651
154	18441	100533
155	18555	100389
156	18674	100269
157	18793	100152
158	18920	100074
159	19048	100002
160	19160	99850
161	19283	99752
162	19394	99588
163	19504	99426
164	19622	99300
165	19754	99247
166	19870	99112
167	19982	98959
168	20103	98850
169	20214	98695
170	20328	98551
171	20440	98400
172	20571	98337
173	20718	98351
174	20844	98265
175	20962	98144
176	21068	97964
177	21184	97827
178	21299	97693
179	21412	97545
180	21522	97385
181	21635	97239
182	21754	97122
183	21866	96972
184	21978	96824
185	22080	96630
186	22192	96484
187	22296	96303
188	22418	96199
189	22532	96059
190	22646	95919
191	22767	95811
192	22880	95669
193	22989	95514
194	23098	95356
195	23208	95202
196	23322	95065
197	23429	94902
198	23541	94757
199	23654	94616
200	23785	94549
201	23896	94401
202	24006	94250
203	24116	94100
204	24232	93976
205	24335	93797
206	24451	93672
207	24554	93497
208	24671	93373
209	24785	93239
210	24898	93102
211	25002	92934
212	25120	92815
213	25224	92648
214	25336	92507
215	25447	92363
216	25549	92190
217	25659	92043
218	25766	91890
219	25875	91741
220	25987	91603
221	26099	91464
222	26211	91329
223	26325	91197
224	26438	91066
225	26551	90933
226	26665	90803
227	26778	90671
228	26896	90553
229	27008	90419
230	27117	90275
231	27232	90148
232	27361	90071
233	27481	89959
234	27597	89837
235	27714	89720
236	27831	89600
237	27947	89480
238	28090	89441
239	28203	89312
240	28301	89132
241	28416	89008
242	28537	88902
243	28654	88782
244	28767	88651
245	28879	88516
246	28993	88389
247	29107	88262
248	29210	88100
249	29324	87974
250	29440	87851
251	29544	87696
252	29660	87574
253	29775	87451
254	29893	87334
255	30010	87216
256	30136	87124
257	30258	87023
258	30408	86999
259	30522	86870
260	30643	86764
261	30761	86649
262	30880	86536
263	31011	86456
264	31132	86347
265	31267	86280
266	31387	86167
267	31499	86034
268	31633	85962
269	31762	85875
270	31870	85733
271	31984	85606
272	32097	85475
273	32209	85342
274	32327	85226
275	32436	85086
276	32556	84976
277	32667	84842
278	32789	84735
279	32906	84616
280	33018	84484
281	33124	84338
282	33238	84210
283	33349	84077
284	33462	83950
285	33561	83786
286	33672	83652
287	33781	83515
