iter	Passed	Remaining
402	13784	62011
403	13818	61976
404	13852	61943
405	13884	61899
406	13916	61856
407	13949	61815
408	13981	61769
409	14013	61726
410	14054	61722
411	14102	61749
412	14146	61760
413	14198	61800
414	14240	61799
415	14282	61799
416	14313	61749
417	14345	61707
418	14377	61663
419	14412	61630
420	14445	61589
421	14477	61544
422	14508	61497
423	14539	61451
424	14574	61417
425	14611	61395
426	14653	61394
427	14696	61394
428	14741	61405
429	14777	61378
430	14816	61361
431	14853	61341
432	14887	61303
433	14919	61258
434	14950	61211
435	14982	61166
436	15017	61136
437	15049	61092
438	15089	61079
439	15135	61091
440	15226	61287
441	15264	61263
442	15304	61252
443	15338	61214
444	15369	61167
445	15401	61123
446	15434	61081
447	15464	61030
448	15495	60979
449	15526	60933
450	15557	60883
451	15586	60828
452	15615	60773
453	15648	60732
454	15681	60694
455	15717	60664
456	15757	60649
457	15796	60632
458	15825	60579
459	15857	60532
460	15889	60488
461	15920	60444
462	15952	60398
463	15980	60342
464	16012	60294
465	16040	60239
466	16069	60184
467	16106	60157
468	16147	60148
469	16189	60142
470	16232	60137
471	16277	60144
472	16320	60139
473	16357	60115
474	16396	60097
475	16432	60069
476	16467	60035
477	16503	60006
478	16538	59974
479	16573	59942
480	16610	59915
481	16644	59879
482	16679	59846
483	16715	59816
484	16749	59781
485	16781	59738
486	16818	59709
487	16853	59678
488	16885	59635
489	16917	59590
490	16949	59546
491	16985	59517
492	17016	59472
493	17046	59422
494	17079	59383
495	17117	59357
496	17153	59329
497	17184	59283
498	17217	59241
499	17253	59212
500	17291	59190
501	17330	59173
502	17372	59162
503	17421	59176
504	17467	59182
505	17507	59165
506	17541	59129
507	17575	59094
508	17608	59053
509	17638	59004
510	17669	58956
511	17701	58913
512	17732	58866
513	17763	58820
514	17797	58783
515	17833	58752
516	17874	58739
517	17915	58726
518	17953	58702
519	17989	58672
520	18025	58642
521	18054	58589
522	18082	58534
523	18115	58494
524	18145	58445
525	18176	58398
526	18208	58357
527	18243	58323
528	18282	58302
529	18323	58288
530	18365	58277
531	18401	58248
532	18434	58207
533	18464	58160
534	18498	58122
535	18530	58080
536	18563	58040
537	18596	58002
538	18638	57990
539	18700	58039
540	18740	58024
541	18780	58004
542	18819	57984
543	18856	57954
544	18890	57918
545	18920	57869
546	18951	57823
547	18982	57777
548	19012	57729
549	19042	57680
550	19073	57637
551	19108	57602
552	19137	57550
553	19168	57506
554	19200	57463
555	19233	57423
556	19270	57396
557	19307	57369
558	19349	57356
559	19400	57368
560	19441	57354
561	19474	57314
562	19505	57268
563	19536	57222
564	19568	57180
565	19596	57128
566	19627	57083
567	19659	57040
568	19687	56987
569	19719	56944
570	19750	56899
571	19781	56853
572	19811	56807
573	19841	56759
574	19875	56721
575	19905	56675
