iter	LogCosh
0	280.0059853
1	274.9711948
2	268.6067234
3	262.3447383
4	257.4144154
5	253.9685431
6	250.3962749
7	244.2289563
8	238.6550029
9	233.442722
10	228.9118862
11	223.5412266
12	218.7770233
13	213.9097389
14	208.9572561
15	206.5077169
16	202.1851185
17	197.854925
18	195.8037316
19	191.770157
20	187.6295899
21	183.8266936
22	180.031308
23	176.9578031
24	173.7640418
25	170.6591345
26	169.2107721
27	167.9852892
28	165.3415051
29	162.4348753
30	159.68963
31	156.8991041
32	154.3081477
33	152.0416917
34	149.6934819
35	148.7345743
36	146.5566522
37	144.4541357
38	142.4608089
39	140.4885894
40	138.632687
41	136.7933566
42	136.0996904
43	134.3751811
44	132.8152119
45	131.3123901
46	130.7629755
47	129.3321484
48	128.7250562
49	127.329164
50	125.9006893
51	125.4334188
52	124.1271443
53	123.0374444
54	121.9396594
55	121.5300907
56	121.1216526
57	120.1264299
58	119.0368175
59	118.0430491
60	117.0907401
61	116.7929188
62	116.4670761
63	116.1274382
64	115.832119
65	115.0041914
66	114.1296835
67	113.3171909
68	112.4753098
69	111.6704152
70	110.891626
71	110.2027019
72	109.5658389
73	108.8818248
74	108.6014113
75	108.0467229
76	107.5012831
77	106.9196955
78	106.3808636
79	105.8546351
80	105.3155184
81	104.8835869
82	104.3669647
83	104.2289092
84	104.0767131
85	103.9178585
86	103.4691027
87	103.3224717
88	102.9157697
89	102.465882
90	102.3537615
91	101.8854014
92	101.7761016
93	101.4677365
94	101.0767874
95	100.769952
96	100.3947015
97	100.0736849
98	99.73372896
99	99.39760101
100	99.08658283
101	98.80944069
102	98.53179445
103	98.46854221
104	98.19418859
105	97.9426704
106	97.85847065
107	97.60941977
108	97.41409216
109	97.10243817
110	96.83020479
111	96.622397
112	96.55711783
113	96.33218199
114	96.14530968
115	96.0895401
116	95.89891047
117	95.84126168
118	95.76697083
119	95.72101471
120	95.52731339
121	95.38445858
122	95.23746995
123	95.1755696
124	94.99706421
125	94.82350121
126	94.6768972
127	94.59295129
128	94.42875815
129	94.31754336
130	94.19592062
