iter	LogCosh
0	63.34431144
1	63.18469638
2	63.00450503
3	62.86153674
4	62.70113581
5	62.53220883
6	62.34157476
7	62.17914082
8	62.00408473
9	61.82786324
10	61.65657778
11	61.50906759
12	61.33401952
13	61.1779008
14	61.01152291
15	60.82689707
16	60.64552755
17	60.46387132
18	60.3127881
19	60.18610609
20	60.02839836
21	59.89160861
22	59.73373313
23	59.57591818
24	59.42521427
25	59.24534159
26	59.09771538
27	58.95949555
28	58.80796055
29	58.65338876
30	58.48186941
31	58.32701007
32	58.14790578
33	57.97732821
34	57.83133973
35	57.66287729
36	57.52577919
37	57.36839385
38	57.22751106
39	57.05653931
40	56.91624644
41	56.74319015
42	56.6070405
43	56.4355144
44	56.2876104
45	56.11899286
46	55.95161038
47	55.8110577
48	55.65008984
49	55.50081764
50	55.36886032
51	55.21652568
52	55.05771445
53	54.92322531
54	54.77169267
55	54.64172668
56	54.51464767
57	54.35356123
58	54.2073284
59	54.07234322
60	53.95505138
61	53.82241613
62	53.68072719
63	53.54302595
64	53.41155726
65	53.27514736
66	53.1445601
67	53.01916062
68	52.88662833
69	52.76881979
70	52.63160738
71	52.48796452
72	52.34226694
73	52.19251017
74	52.06098341
75	51.92024695
76	51.80277445
77	51.6940251
78	51.55948548
79	51.42445532
80	51.30655625
81	51.15468989
82	51.03781211
83	50.89276854
84	50.77895747
85	50.66611562
86	50.52361203
87	50.41753324
88	50.2744791
89	50.16443639
90	50.02660911
91	49.88104494
92	49.7411561
93	49.60769483
94	49.48064282
95	49.3665456
96	49.25433705
97	49.14382108
98	49.00670999
99	48.89801782
100	48.78684118
101	48.65739029
102	48.53938465
103	48.44054397
104	48.30185676
105	48.18496819
106	48.06728739
107	47.97441721
108	47.85346904
109	47.72820604
110	47.61068949
111	47.49099508
112	47.35875644
113	47.23229419
114	47.13217252
115	47.02137466
116	46.89561641
117	46.76854554
118	46.65716134
119	46.54131236
120	46.4095512
121	46.2871519
122	46.16710604
123	46.04663626
124	45.92948067
125	45.82999146
126	45.70950869
127	45.58735915
128	45.461184
129	45.34246159
130	45.22492975
131	45.11837305
132	45.00049243
133	44.88845959
134	44.78343171
135	44.66091087
136	44.5566484
137	44.43127457
138	44.31970194
139	44.20423324
140	44.10416301
141	43.98466359
142	43.88751854
143	43.78247293
144	43.66636541
145	43.55190198
146	43.44684522
147	43.34395022
148	43.25520603
149	43.14234743
150	43.03521471
151	42.93179398
152	42.83098179
153	42.71612755
154	42.61820522
155	42.52190624
156	42.41255227
157	42.33076366
158	42.23568716
159	42.13439129
160	42.03225601
161	41.92525419
162	41.81701928
163	41.7212761
164	41.63208995
165	41.52683559
166	41.43736712
167	41.34350108
168	41.25219074
169	41.15808268
170	41.06856448
171	40.97569211
172	40.88061427
173	40.79164291
174	40.6874653
175	40.6047327
176	40.51733295
177	40.41898186
178	40.33197609
179	40.22565898
180	40.12639169
181	40.02542887
182	39.92767069
183	39.83443026
184	39.73252429
185	39.63578321
186	39.53214887
187	39.44983856
188	39.35353299
189	39.24835257
190	39.16490918
191	39.06788214
192	38.98219654
193	38.89805673
194	38.79895968
195	38.71659242
196	38.62438235
197	38.53589609
198	38.44166513
199	38.34666769
200	38.25942594
201	38.18286989
202	38.09118525
203	37.99889263
204	37.89730323
205	37.80596055
206	37.71003207
207	37.63462222
208	37.55957758
209	37.48921417
210	37.40829328
211	37.3198265
212	37.22825855
213	37.13730237
214	37.05865438
215	36.98086988
216	36.89373758
217	36.81406855
218	36.73563569
219	36.65678583
220	36.58036331
221	36.5045165
222	36.42475598
223	36.35087529
224	36.28331748
225	36.20568968
226	36.11615076
227	36.04144914
228	35.96250653
229	35.88232132
230	35.80913263
231	35.73187215
232	35.66287594
233	35.5925566
234	35.51599978
