iter	RMSE
349	65.08232499
350	65.04919991
351	65.01198354
352	64.97995628
353	64.95963606
354	64.92993404
355	64.88631209
356	64.84295305
357	64.81261336
358	64.79500431
359	64.7710749
360	64.74937248
361	64.68649385
362	64.65386171
363	64.61964444
364	64.58897396
365	64.56416213
366	64.52063534
367	64.48821181
368	64.43831831
369	64.4269773
370	64.40625184
371	64.35853116
372	64.32901961
373	64.30574174
374	64.25282929
375	64.21381904
376	64.17169832
377	64.13762793
378	64.08780739
379	64.04324198
380	64.00221117
381	63.96589767
382	63.92267987
383	63.87360457
384	63.83536313
385	63.80256577
386	63.77267634
387	63.74955323
388	63.72197724
389	63.69465704
390	63.65728356
391	63.62287884
392	63.58049368
393	63.5453657
394	63.50294166
395	63.48040406
396	63.44916209
397	63.42087782
398	63.37372674
399	63.34500707
400	63.2988012
401	63.27631507
402	63.24171888
403	63.20631763
404	63.17984978
405	63.14606704
406	63.11681333
407	63.0824522
408	63.05279431
409	63.0143014
410	62.99362462
411	62.9612658
412	62.90461241
413	62.88001635
414	62.8196685
415	62.79587099
416	62.77463595
417	62.75540245
418	62.70690395
419	62.68847168
420	62.6514201
421	62.61661706
422	62.59040215
423	62.55440647
424	62.5291658
425	62.48982317
426	62.46380644
427	62.42434712
428	62.39354046
429	62.35309229
430	62.32444581
431	62.2870177
432	62.25543292
433	62.24304951
434	62.22043753
435	62.17310389
436	62.15115742
437	62.13162578
438	62.10360878
439	62.06930014
440	62.04936011
441	62.01448783
442	61.978063
443	61.93720675
444	61.88599213
445	61.83426078
446	61.80418811
447	61.7702854
448	61.72665777
449	61.6843749
450	61.65849934
451	61.62269802
452	61.59289207
453	61.53800863
454	61.51088278
455	61.48995185
456	61.45757232
457	61.44164025
458	61.41294766
459	61.3714463
460	61.33470358
461	61.30174997
462	61.27488216
463	61.24727742
464	61.20608443
465	61.18219039
466	61.16313768
467	61.11152995
468	61.11003011
469	61.0715391
470	61.04593069
471	61.02315213
472	61.00265078
473	60.99940131
474	60.97911594
475	60.96875609
476	60.95540352
477	60.93357331
478	60.88776625
479	60.85319068
480	60.8238607
481	60.78344891
482	60.73020238
483	60.69512757
484	60.67692389
485	60.6474728
486	60.61236622
487	60.56994748
488	60.53767494
489	60.49718255
490	60.46449935
491	60.44137815
492	60.42361557
493	60.40432425
494	60.36254132
495	60.35898954
496	60.33597469
497	60.31038607
498	60.28564611
499	60.2475643
500	60.24410755
501	60.23157965
502	60.20016773
503	60.17337705
504	60.15412433
505	60.12558719
506	60.10805913
507	60.07477263
508	60.04859646
509	60.02065609
510	59.99966666
511	59.94033141
512	59.92501212
513	59.89592726
514	59.88945127
515	59.85852878
516	59.83674855
517	59.79337064
518	59.76743822
519	59.74376799
520	59.7191462
521	59.67291493
522	59.64781792
523	59.62201692
524	59.59716516
525	59.58295743
526	59.56095228
527	59.53885342
528	59.51688938
529	59.4777659
530	59.45341174
531	59.41748191
532	59.3850444
533	59.35894787
534	59.33865927
535	59.29942808
536	59.27672947
537	59.25389041
538	59.22424015
539	59.20223055
540	59.16706868
541	59.13999628
542	59.11727782
543	59.09563187
544	59.06186275
545	59.04819285
546	59.01702199
547	58.99269931
548	58.97172733
549	58.94414695
550	58.93446115
551	58.91873488
552	58.88936715
553	58.85848968
554	58.82280351
555	58.79004438
556	58.78224724
557	58.74688798
558	58.7199598
559	58.68530335
560	58.65516547
561	58.63050393
562	58.59783706
563	58.57352898
564	58.55848501
565	58.54093941
566	58.52370045
567	58.50032187
568	58.46777396
569	58.45004421
570	58.43313707
571	58.41959632
572	58.38329183
573	58.36090615
574	58.34049129
575	58.30881186
576	58.27740021
577	58.25830246
578	58.2376938
579	58.21510394
580	58.18316532
581	58.14765081
582	58.12213692
583	58.09242968
584	58.07203868
585	58.05944617
586	58.01862745
587	57.99794161
588	57.96002658
589	57.94756972
590	57.93212188
591	57.90982026
592	57.88957202
593	57.86354834
594	57.83501705
595	57.81109547
596	57.77737129
597	57.75236172
598	57.74282606
599	57.71284723
600	57.67911689
601	57.67729476
602	57.65920488
603	57.62272245
604	57.5951522
605	57.56874325
606	57.53128088
607	57.51475394
608	57.47670327
609	57.45696368
610	57.42994233
611	57.40907891
612	57.36912497
613	57.35086561
614	57.32922748
615	57.30792971
616	57.27998518
617	57.2512823
618	57.23181026
619	57.21264097
620	57.18075196
621	57.156104
622	57.13620346
623	57.12398047
624	57.09720069
625	57.0581806
626	57.02966126
627	57.01843684
628	57.0035195
629	56.99039823
630	56.96903905
631	56.9489557
632	56.9205209
633	56.90289752
634	56.88286976
635	56.85145383
636	56.83229346
637	56.81312204
638	56.78661237
639	56.76289977
640	56.73990113
641	56.71910539
642	56.68893927
643	56.66121373
644	56.63391275
645	56.60826272
646	56.57997084
647	56.55990717
648	56.53327448
649	56.52113848
650	56.49036854
651	56.45782709
652	56.4456789
653	56.41694322
654	56.39875636
655	56.375826
656	56.35837781
657	56.32993651
658	56.30563241
659	56.27360661
660	56.24214158
661	56.23079514
662	56.21296428
663	56.18405724
664	56.16746268
665	56.13361555
666	56.10941564
667	56.08250482
668	56.04729302
669	56.035479
670	56.01547293
671	55.99665288
672	55.98570248
673	55.96264006
674	55.93322504
675	55.90743779
676	55.88072014
677	55.85123209
678	55.82980748
679	55.81264385
680	55.79355378
681	55.77734364
682	55.73424042
683	55.72123069
684	55.68805643
685	55.67394608
686	55.65558263
687	55.63840341
688	55.62249342
689	55.6058588
690	55.58143243
691	55.54145291
692	55.50010045
693	55.48249308
694	55.46074413
695	55.44458904
696	55.4235499
697	55.39754135
698	55.36673865
699	55.34813829
700	55.33969915
701	55.32669397
702	55.29176623
703	55.27286741
704	55.24619555
705	55.23007691
706	55.21909055
707	55.19692545
708	55.17879748
709	55.16271858
710	55.13478188
711	55.13149826
712	55.10084498
713	55.07280956
714	55.03966929
715	55.01389055
716	55.00176
717	54.98287724
718	54.94973356
719	54.9369793
720	54.91083203
721	54.89432665
722	54.87146714
723	54.84448053
724	54.81830616
725	54.80551188
726	54.78057269
727	54.76518463
728	54.74924528
729	54.72358955
730	54.6995486
731	54.66708402
732	54.64260611
733	54.62156532
734	54.6090666
735	54.58600681
736	54.58276207
737	54.54801092
738	54.52633641
739	54.52267921
740	54.50034757
741	54.46893342
742	54.44143292
743	54.43059336
744	54.40600162
745	54.37774453
746	54.36235455
747	54.31272875
748	54.28972233
749	54.25973547
750	54.23522896
751	54.21634882
752	54.19396075
753	54.16095265
754	54.14982391
755	54.12453682
756	54.09423421
757	54.06958478
758	54.05554775
759	54.0416906
760	54.03470416
761	54.00941072
762	53.9719241
763	53.95025657
764	53.92019163
765	53.89574423
766	53.87613819
767	53.8541329
768	53.84042221
769	53.81694327
770	53.78569886
771	53.77188531
772	53.75517026
773	53.7301093
774	53.7035006
775	53.68538555
776	53.66994568
777	53.65043197
778	53.63095342
779	53.60945214
780	53.58894763
781	53.57255922
782	53.54391536
783	53.51343206
784	53.4913812
785	53.46530951
786	53.44196446
787	53.42323214
788	53.4133665
789	53.39221533
790	53.36585372
791	53.34509404
792	53.31916747
793	53.29613305
794	53.28784391
795	53.26026803
796	53.23809379
797	53.22963491
798	53.21026942
799	53.18431037
800	53.16929528
801	53.14942826
802	53.13505063
803	53.10933166
804	53.09286344
805	53.07818199
806	53.05430677
807	53.03985336
808	53.02395529
809	53.00180711
810	52.98634834
811	52.96372326
812	52.94890843
813	52.91967403
814	52.89243145
815	52.8722071
816	52.85747377
817	52.84167409
818	52.8329928
819	52.81432145
820	52.80306377
821	52.786305
822	52.76151905
823	52.73636133
824	52.71902427
825	52.69853193
826	52.68978079
827	52.66115888
828	52.63711111
829	52.61896388
830	52.59588088
831	52.57614862
832	52.55949283
833	52.54598843
834	52.52238498
835	52.51501061
836	52.50105906
837	52.4790447
838	52.46149415
839	52.44981076
840	52.4337687
841	52.41743023
842	52.39300251
843	52.38785027
844	52.36356909
845	52.35491585
846	52.33718196
847	52.31812368
848	52.29538209
849	52.27776166
850	52.26898043
851	52.25325448
852	52.23591234
853	52.20252024
854	52.17223399
855	52.15917394
856	52.13395941
857	52.10771746
858	52.09472453
859	52.08745298
860	52.07306349
861	52.04524763
862	52.02175998
863	52.01062996
864	51.98173711
865	51.96120473
866	51.94359905
867	51.92704372
868	51.9119636
869	51.88853491
870	51.87507516
871	51.86697339
872	51.85719038
873	51.84479089
874	51.82339015
875	51.8205811
876	51.79920923
877	51.78450071
878	51.76123407
879	51.73817501
880	51.7238899
881	51.70503111
882	51.69274573
883	51.67677206
884	51.65405746
885	51.62535902
886	51.60704202
887	51.59615294
888	51.57589431
889	51.54745061
890	51.53669229
891	51.50444258
892	51.4838245
893	51.46735437
894	51.45037798
895	51.41323808
896	51.39437452
897	51.37581076
898	51.35461119
899	51.33818105
900	51.31807441
901	51.30009418
902	51.2858591
903	51.26166997
904	51.24354596
905	51.23615026
906	51.22886165
907	51.21897297
908	51.18675485
909	51.16572884
910	51.15088679
911	51.13845798
912	51.12375108
913	51.11195435
914	51.10497229
915	51.09255008
916	51.06266842
917	51.05482334
918	51.04401679
919	51.02592296
920	51.01474928
921	50.99640272
922	50.97622773
923	50.95867692
924	50.92832686
925	50.92445598
926	50.89231712
927	50.87869455
928	50.85933866
929	50.83751926
930	50.81804711
931	50.79922686
932	50.79086533
933	50.78322873
934	50.77702798
935	50.74668882
936	50.72610918
937	50.70812822
938	50.68766278
939	50.68255302
940	50.67582769
941	50.65318652
942	50.63807348
943	50.6250369
944	50.60361969
945	50.59153234
946	50.57107673
947	50.55037649
948	50.53871627
949	50.52347964
950	50.50484249
951	50.49546739
952	50.47997775
953	50.45878233
954	50.44009806
955	50.41998827
956	50.40113441
