iter	MAE
0	484.1567394
1	476.4896429
2	466.0287595
3	458.7682571
4	448.7135237
5	440.1738239
6	431.0411548
7	423.5902902
8	413.7012549
9	404.7254192
10	395.1564394
11	386.010128
12	377.4001371
13	369.5645003
14	362.1703925
15	354.2294091
16	348.1698671
17	340.4368493
18	333.811227
19	326.8607959
20	320.8215977
21	314.4272745
22	307.9072246
23	301.8938928
24	296.3096974
25	291.0133268
26	285.5200869
27	281.0650322
28	276.1589039
29	271.7342113
30	268.3298702
31	263.9638294
32	259.6294474
33	256.347545
34	252.8312446
35	249.2810698
36	246.9059723
37	243.7660913
38	240.436522
39	237.1707553
40	234.4022106
41	231.4530824
42	229.2660381
43	226.5876068
44	223.7636611
45	221.3011065
46	219.1270468
47	216.8682217
48	215.0129278
49	213.0180262
50	211.4323708
51	209.532508
52	207.6091738
53	205.6799759
54	204.5170691
55	202.9582822
56	201.3941468
57	199.8869843
58	198.8767981
59	197.4445623
60	196.0517062
61	194.767984
62	193.4127297
63	192.3186536
64	191.1550351
65	190.0903078
66	188.9102254
67	187.7960001
68	186.7053556
69	185.7338975
70	184.7709397
71	184.2568977
72	183.2882814
73	182.4556223
74	181.6369081
75	180.9011293
76	180.1523073
77	179.3852029
78	179.0261886
79	178.4239388
80	177.7779631
81	177.2759545
82	176.718195
83	176.3650493
84	175.8345434
85	175.2906531
86	174.7563193
87	174.3562543
88	173.8544809
89	173.3206559
90	172.854111
91	172.443505
92	172.0242959
93	171.5528863
94	171.099627
95	170.6925949
96	170.2536924
97	169.8419983
98	169.6685965
99	169.4905641
100	169.0492124
101	168.7026616
102	168.3926499
103	168.2249337
104	167.8783612
105	167.5332787
106	167.4223487
107	167.2876935
108	167.0155254
109	166.7838664
110	166.4508515
111	166.2549579
112	166.1579335
113	166.0726681
114	165.9809189
115	165.9079775
116	165.7131365
117	165.589081
118	165.3141314
119	165.2468073
120	165.192878
121	164.9899058
122	164.7082729
123	164.6209158
124	164.5456221
125	164.3957326
126	164.3201652
127	164.2680091
128	164.0771461
129	163.9441373
130	163.8961697
131	163.8438249
132	163.7903345
133	163.7553886
134	163.6992834
135	163.6142754
136	163.5522033
137	163.4694036
138	163.4196821
139	163.3947898
140	163.3459157
141	163.3068609
142	163.0284029
143	162.9826794
144	162.8341065
145	162.7086241
146	162.5553088
147	162.4528406
148	162.3891619
149	162.3101174
150	162.0858229
151	162.0543218
152	162.0371214
153	162.0040663
154	161.9698621
155	161.9014611
156	161.8812626
157	161.6682086
158	161.4357539
159	161.2509659
160	161.2335487
161	161.1063273
162	161.0688736
163	160.9302433
164	160.7610055
165	160.7486009
166	160.7219739
167	160.6087708
168	160.4179616
169	160.3143027
170	160.1065
171	160.0615399
172	160.0259488
173	159.9398675
174	159.9160302
175	159.7645814
176	159.6087855
177	159.4417556
178	159.307154
179	159.2879715
180	159.2032198
181	159.1623234
182	159.1084747
183	158.993716
184	158.9613314
185	158.8983881
186	158.8791982
187	158.8625551
188	158.8006536
189	158.7491058
190	158.7233034
191	158.7148339
192	158.6153829
193	158.5334867
194	158.4637948
195	158.4104891
196	158.3667592
197	158.3598495
198	158.2889179
199	158.2135749
200	158.1542774
201	158.1454708
202	158.1308861
203	158.0497926
204	158.0185949
205	157.9932775
206	157.9421389
207	157.9180878
208	157.8619879
209	157.799691
210	157.7678057
211	157.6733882
212	157.5762688
213	157.4888244
214	157.4846239
215	157.38422
216	157.3468163
217	157.3012287
218	157.2667752
219	157.2028615
220	157.1193983
221	157.1152434
222	157.0400131
223	157.0391051
224	156.9878176
225	156.9211791
226	156.911683
227	156.8561964
228	156.8393753
229	156.8305135
230	156.7486468
231	156.7176663
232	156.7108941
233	156.6524321
234	156.6280919
235	156.5709511
236	156.5209756
237	156.5150913
238	156.3604987
239	156.3300809
240	156.3227888
241	156.302026
242	156.2925813
243	156.2626799
244	156.2342998
245	156.1623128
246	156.1508117
247	156.1283434
248	156.0177262
249	155.9889779
250	155.921065
251	155.8758053
252	155.8361869
253	155.8323565
254	155.7974625
255	155.7576139
256	155.714251
257	155.6892214
258	155.6824661
259	155.6198071
260	155.5932785
261	155.5334942
262	155.4858403
263	155.3694798
264	155.3643984
265	155.3301952
266	155.3039344
267	155.2890359
268	155.278462
269	155.2668673
270	155.249014
271	155.2285449
272	155.2285223
273	155.2253406
274	155.2209586
275	155.1740188
276	155.1680725
277	155.1644269
278	155.1368212
279	155.0933124
280	155.0615419
281	155.0273844
282	154.989265
283	154.9861835
284	154.9674378
285	154.9579115
286	154.9461221
287	154.8474269
288	154.8027905
289	154.7929627
290	154.716643
291	154.7051498
292	154.7035973
293	154.6905527
294	154.6652131
295	154.631044
296	154.6271263
297	154.5992868
298	154.5931493
299	154.5716509
300	154.5159963
301	154.4945978
302	154.4622581
303	154.4466574
304	154.4423922
305	154.442148
306	154.4402241
307	154.4325852
308	154.4297056
309	154.3725405
310	154.3629253
311	154.3604919
312	154.3558864
313	154.3543682
314	154.2941105
315	154.281588
316	154.2802569
317	154.2730572
318	154.2323587
319	154.2312578
320	154.2127277
321	154.1646951
322	154.1543949
323	154.1300501
324	154.128658
325	154.0951964
326	154.0837634
327	154.0774472
328	154.0351135
329	154.0128874
330	154.0126584
331	154.0083273
332	153.9485174
333	153.9294331
334	153.8251572
335	153.8196156
336	153.802
337	153.799851
338	153.7397467
339	153.7300445
340	153.7296938
341	153.7185299
342	153.6771873
343	153.6693043
344	153.6691091
345	153.6603332
346	153.6158268
347	153.5894126
348	153.5363506
349	153.5246433
350	153.5244054
351	153.5053764
352	153.5042479
353	153.4939036
354	153.4842776
355	153.4823569
356	153.4727788
357	153.418062
358	153.4125554
359	153.4098402
360	153.4043101
361	153.3987664
362	153.3702911
363	153.31275
364	153.2967602
365	153.2923126
366	153.2766163
367	153.2248716
368	153.2198445
369	153.2142146
370	153.2070098
371	153.2011359
372	153.194199
373	153.1837635
374	153.1736089
375	153.1670239
376	153.1613956
377	153.1466189
378	153.13927
379	153.1260843
380	153.1209503
381	153.1153197
382	153.1150304
383	153.1150283
384	153.1125667
385	153.0710893
386	153.0463497
387	153.0460858
388	153.0421695
389	153.0396858
390	153.0333564
391	153.0309435
392	153.0191037
393	152.9938768
394	152.992987
395	152.9878873
396	152.9817316
397	152.9757506
398	152.9729344
399	152.9680177
400	152.9519018
401	152.8797059
402	152.8735172
403	152.8647011
404	152.8608936
405	152.851292
406	152.8491344
407	152.8383235
408	152.8323695
409	152.8288219
410	152.8281579
411	152.818893
412	152.8043831
413	152.8007383
414	152.8005485
415	152.8005484
416	152.8005122
417	152.8002179
418	152.7999965
419	152.7995411
420	152.7989197
421	152.7988982
422	152.798113
423	152.7757764
424	152.7169913
425	152.6893951
426	152.6438155
427	152.6310472
428	152.5960142
429	152.5857659
430	152.5857656
431	152.5646517
432	152.5316151
433	152.5171009
434	152.5165285
435	152.4953508
436	152.4558975
437	152.4557846
438	152.4527007
439	152.4164638
440	152.4164491
441	152.3496529
442	152.3177737
443	152.3133697
444	152.3133432
445	152.3129137
446	152.3099047
447	152.305567
448	152.2922101
449	152.2798499
450	152.2798085
451	152.2797846
452	152.2660576
453	152.2660431
454	152.2656149
455	152.2654203
456	152.2308441
457	152.2261853
458	152.2261473
459	152.17919
460	152.1674673
461	152.1216475
462	152.094037
463	152.0650709
464	152.0120187
465	151.9764924
466	151.9519204
467	151.95192
468	151.9519085
469	151.9369461
470	151.9357208
471	151.9317236
472	151.9268001
473	151.8890525
474	151.8706965
475	151.8554786
476	151.8382388
477	151.8337777
478	151.8299402
479	151.8298838
480	151.8251793
481	151.8240857
482	151.7710481
483	151.7411449
